move_see,grip,stim,trialID,uniquetrial,ms_txt,grip_txt,daq,trial_number,jitter
0,5,0,50,14,MOVE,2 FINGERS,32,0,1.5
1,0,1,101,1,VIEW,OPEN,255,1,3.0
0,1,0,10,3,MOVE,CLOSE,2,2,3.0
1,7,1,171,19,VIEW,4 FINGERS,255,3,3.0
0,2,0,20,6,MOVE,PINCH,4,4,3.0
1,2,1,121,7,VIEW,PINCH,255,5,1.5
1,4,1,141,13,VIEW,1 FINGER,255,6,3.0
0,6,0,60,16,MOVE,3 FINGERS,64,7,1.5
1,1,1,111,4,VIEW,CLOSE,255,8,4.5
1,6,1,161,17,VIEW,3 FINGERS,255,9,3.0
0,7,0,70,18,MOVE,4 FINGERS,128,10,4.5
1,1,2,112,5,VIEW,CLOSE,255,11,3.0
0,3,0,30,9,MOVE,TRIPOD,8,12,3.0
1,5,1,151,15,VIEW,2 FINGERS,255,13,4.5
1,3,1,131,10,VIEW,TRIPOD,255,14,3.0
1,2,2,122,8,VIEW,PINCH,255,15,3.0
0,4,0,40,12,MOVE,1 FINGER,16,16,1.5
1,0,2,102,2,VIEW,OPEN,255,17,1.5
0,0,0,0,0,MOVE,OPEN,1,18,3.0
1,3,2,132,11,VIEW,TRIPOD,255,19,3.0
1,1,2,112,5,VIEW,CLOSE,255,20,3.0
0,6,0,60,16,MOVE,3 FINGERS,64,21,1.5
1,1,1,111,4,VIEW,CLOSE,255,22,4.5
0,3,0,30,9,MOVE,TRIPOD,8,23,3.0
1,3,1,131,10,VIEW,TRIPOD,255,24,3.0
1,2,2,122,8,VIEW,PINCH,255,25,3.0
1,3,2,132,11,VIEW,TRIPOD,255,26,3.0
1,7,1,171,19,VIEW,4 FINGERS,255,27,3.0
0,4,0,40,12,MOVE,1 FINGER,16,28,1.5
1,5,1,151,15,VIEW,2 FINGERS,255,29,4.5
0,1,0,10,3,MOVE,CLOSE,2,30,3.0
1,2,1,121,7,VIEW,PINCH,255,31,1.5
0,7,0,70,18,MOVE,4 FINGERS,128,32,4.5
1,0,1,101,1,VIEW,OPEN,255,33,3.0
0,5,0,50,14,MOVE,2 FINGERS,32,34,1.5
1,0,2,102,2,VIEW,OPEN,255,35,1.5
0,2,0,20,6,MOVE,PINCH,4,36,3.0
1,6,1,161,17,VIEW,3 FINGERS,255,37,3.0
1,4,1,141,13,VIEW,1 FINGER,255,38,3.0
0,0,0,0,0,MOVE,OPEN,1,39,3.0
0,5,0,50,14,MOVE,2 FINGERS,32,40,1.5
1,5,1,151,15,VIEW,2 FINGERS,255,41,4.5
0,0,0,0,0,MOVE,OPEN,1,42,3.0
1,0,1,101,1,VIEW,OPEN,255,43,3.0
1,7,1,171,19,VIEW,4 FINGERS,255,44,3.0
0,4,0,40,12,MOVE,1 FINGER,16,45,1.5
1,4,1,141,13,VIEW,1 FINGER,255,46,3.0
1,3,2,132,11,VIEW,TRIPOD,255,47,3.0
0,3,0,30,9,MOVE,TRIPOD,8,48,3.0
1,2,1,121,7,VIEW,PINCH,255,49,1.5
0,6,0,60,16,MOVE,3 FINGERS,64,50,1.5
1,1,1,111,4,VIEW,CLOSE,255,51,4.5
0,1,0,10,3,MOVE,CLOSE,2,52,3.0
1,6,1,161,17,VIEW,3 FINGERS,255,53,3.0
1,2,2,122,8,VIEW,PINCH,255,54,3.0
0,2,0,20,6,MOVE,PINCH,4,55,3.0
1,3,1,131,10,VIEW,TRIPOD,255,56,3.0
1,0,2,102,2,VIEW,OPEN,255,57,1.5
0,7,0,70,18,MOVE,4 FINGERS,128,58,4.5
1,1,2,112,5,VIEW,CLOSE,255,59,3.0
